company_code,service_category,country,city,zone_code,source_file
#CR0001,domestic,LK,Colombo 1 - 15,A,Domestic Zone List.pdf
#CR0001,domestic,LK,Athurugiriya,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Battaramulla,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Batuwatta,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Biyagama,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Boralesgamuwa,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Dehiwala,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Demanhandiya,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Divulapitiya,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Dunagaha,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Embuldeniya,B,Domestic Zone List.pdf
#CR0001,domestic,LK,GonawalaWP,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Habarakada,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Heiyanthuduwa,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Hendala,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Hokandara,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Homagama,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Hunumulla,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Ja-Ela,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Kadawatha,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Kaduwela,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Kalubowila,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Kandana,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Kapuwatta,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Katana,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Katunayake,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Katuwellegama,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Kelaniya,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Kimbulapitiya,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Kiribathgoda,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Kochchikade,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Kohuwala,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Kottawa,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Kotugoda,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Mahabage,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Maharagama,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Makola,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Malabe,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Malwana,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Marandagahamula,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Moratuwa,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Mount Lavinia,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Negombo,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Nugegoda,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Panadura,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Pannipitiya,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Peliyagoda,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Pethiyagoda,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Pita Kotte,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Pitipana Homagama,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Raddolugama,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Ragama,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Rajagiriya,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Ratmalana,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Rukmale,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Seeduwa,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Siyambalape,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Sri Jayewardenepura,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Talahena,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Talawatugoda,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Thimbirigaskatuwa,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Wattala,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Weboda,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Wijerama,B,Domestic Zone List.pdf
#CR0001,domestic,LK,Akaragama,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Akarawita,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Akmeemana,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Akurana,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Alankerny,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Alawatugoda,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Alawwa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Alubomulla,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Alutgama,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Alutwewa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Alwatta,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Ambagaspitiya,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Ambakandawila,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Ambakote,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Ambalantota,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Ambana,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Ambanpola,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Ambatenna,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Ambepussa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Ambewela,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Ambulugala,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Ampalkulam,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Ampara,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Ampitiya,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Anamaduwa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Anangoda,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Andiambalama,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Angoda,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Angunawila,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Anhandiya,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Ankokkawala,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Anukkane,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Anuradhapura,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Aragoda,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Araipattai,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Aralaganwila,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Arangala,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Aselapura,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Ataragalla,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Attanagalla,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Attanakadawala,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Attawilluwa,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Avissawella,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Awulegama,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Badalgama,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Badulla,C,Domestic Zone List.pdf
#CR0001,domestic,LK,Balalla,C,Domestic Zone List.pdf
