company_code,service_category,country,city,zone_code,source,province,district
#CR0001,domestic,Sri Lanka,Akurana,C,Copy of courier (1).xlsx,Central,Kandy
#CR0001,domestic,Sri Lanka,Alawatugoda,C,Copy of courier (1).xlsx,Central,Kandy
#CR0001,domestic,Sri Lanka,Aludeniya,C,Copy of courier (1).xlsx,Central,Kandy
#CR0001,domestic,Sri Lanka,Ambagahapelessa,C,Copy of courier (1).xlsx,Central,Kandy
#CR0001,domestic,Sri Lanka,Ambatenna,C,Copy of courier (1).xlsx,Central,Kandy
#CR0001,domestic,Sri Lanka,Ampitiya,C,Copy of courier (1).xlsx,Central,Kandy
#CR0001,domestic,Sri Lanka,Ankumbura,C,Copy of courier (1).xlsx,Central,Kandy
#CR0001,domestic,Sri Lanka,Atabage,C,Copy of courier (1).xlsx,Central,Kandy
#CR0001,domestic,Sri Lanka,Balana,C,Copy of courier (1).xlsx,Central,Kandy
#CR0001,domestic,Sri Lanka,Bambaragahaela,C,Copy of courier (1).xlsx,Central,Kandy
#CR0001,domestic,Sri Lanka,Barawardhana Oya,C,Copy of courier (1).xlsx,Central,Kandy
#CR0001,domestic,Sri Lanka,Batagolladeniya,C,Copy of courier (1).xlsx,Central,Kandy
#CR0001,domestic,Sri Lanka,Batugoda,C,Copy of courier (1).xlsx,Central,Kandy
#CR0001,domestic,Sri Lanka,Batumulla,C,Copy of courier (1).xlsx,Central,Kandy
#CR0001,domestic,Sri Lanka,Bawlana,C,Copy of courier (1).xlsx,Central,Kandy
#CR0001,domestic,Sri Lanka,Bopana,C,Copy of courier (1).xlsx,Central,Kandy
#CR0001,domestic,Sri Lanka,Danture,C,Copy of courier (1).xlsx,Central,Kandy
#CR0001,domestic,Sri Lanka,Dedunupitiya,C,Copy of courier (1).xlsx,Central,Kandy
#CR0001,domestic,Sri Lanka,Dekinda,C,Copy of courier (1).xlsx,Central,Kandy
#CR0001,domestic,Sri Lanka,Deltota,C,Copy of courier (1).xlsx,Central,Kandy
#CR0001,domestic,Sri Lanka,Dolapihilla,C,Copy of courier (1).xlsx,Central,Kandy
#CR0001,domestic,Sri Lanka,Dolosbage,C,Copy of courier (1).xlsx,Central,Kandy
#CR0001,domestic,Sri Lanka,Doluwa,C,Copy of courier (1).xlsx,Central,Kandy
#CR0001,domestic,Sri Lanka,Doragamuwa,C,Copy of courier (1).xlsx,Central,Kandy
#CR0001,domestic,Sri Lanka,Dunuwila,C,Copy of courier (1).xlsx,Central,Kandy
