city_key,zones,sources,assignments
akarawita,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Copy of courier (1).xlsx|C:Domestic Zone List.pdf
ampara,C|D,Copy of courier (1).xlsx|Domestic Zone List.pdf,C:Domestic Zone List.pdf|D:Copy of courier (1).xlsx
angoda,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Copy of courier (1).xlsx|C:Domestic Zone List.pdf
araipattai,C|D,Copy of courier (1).xlsx|Domestic Zone List.pdf,C:Domestic Zone List.pdf|D:Copy of courier (1).xlsx
arangala,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Copy of courier (1).xlsx|C:Domestic Zone List.pdf
avissawella,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Copy of courier (1).xlsx|C:Domestic Zone List.pdf
batawala,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Copy of courier (1).xlsx|C:Domestic Zone List.pdf
batticaloa,C|D,Copy of courier (1).xlsx|Domestic Zone List.pdf,C:Domestic Zone List.pdf|D:Copy of courier (1).xlsx
batugampola,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Copy of courier (1).xlsx|C:Domestic Zone List.pdf
batuwatta,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Domestic Zone List.pdf|C:Copy of courier (1).xlsx
biyagama,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Domestic Zone List.pdf|C:Copy of courier (1).xlsx
bope,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Copy of courier (1).xlsx|C:Domestic Zone List.pdf
chenkaladi,C|D,Copy of courier (1).xlsx|Domestic Zone List.pdf,C:Domestic Zone List.pdf|D:Copy of courier (1).xlsx
chinabay,C|D,Copy of courier (1).xlsx|Domestic Zone List.pdf,C:Domestic Zone List.pdf|D:Copy of courier (1).xlsx
chundikuli,C|D,Copy of courier (1).xlsx|Domestic Zone List.pdf,C:Domestic Zone List.pdf|D:Copy of courier (1).xlsx
chunnakam,C|D,Copy of courier (1).xlsx|Domestic Zone List.pdf,C:Domestic Zone List.pdf|D:Copy of courier (1).xlsx
dedigamuwa,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Copy of courier (1).xlsx|C:Domestic Zone List.pdf
deltara,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Copy of courier (1).xlsx|C:Domestic Zone List.pdf
demanhandiya,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Domestic Zone List.pdf|C:Copy of courier (1).xlsx
divulapitiya,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Domestic Zone List.pdf|C:Copy of courier (1).xlsx
dunagaha,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Domestic Zone List.pdf|C:Copy of courier (1).xlsx
gonawalawp,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Domestic Zone List.pdf|C:Copy of courier (1).xlsx
handapangoda,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Copy of courier (1).xlsx|C:Domestic Zone List.pdf
hanwella,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Copy of courier (1).xlsx|C:Domestic Zone List.pdf
heiyanthuduwa,B|C,Copy of courier (1).xlsx|Domestic Zone List.pdf,B:Domestic Zone List.pdf|C:Copy of courier (1).xlsx
